name,x,y,time_in,time_out
cnoeeazj,0.27,0.88,228,1461
gedngjjl,0.8670000000000001,0.283,41,1133
lygyhptj,0.418,0.43200000000000005,344,1733
cxszbtan,0.597,0.553,891,1872
dhbhibtx,0.01,1.0,138,1220
aqnmkdgr,0.762,0.088,562,939
bxbqgomx,0.5630000000000001,0.287,659,1557
gycuzgoj,0.34,0.5099999999999999,775,1675
pmwobdyp,0.24,0.91,637,714
amebzjkj,0.205,0.9450000000000001,775,1340
movoofuz,0.82,0.33,923,1219
yjuujxec,0.20900000000000005,0.941,533,1134
zefqhpsd,0.4069999999999999,0.443,449,1267
jximhfle,0.894,0.256,615,1008
aiboofji,0.377,0.773,701,942
inclkyei,0,0.934,38,1354
ivfwljob,0.43900000000000006,0.711,174,877
pewfjfoc,0.632,0.218,933,1356
dlogydry,0,0.939,933,1545
yswawbhd,0.754,0.096,204,1907
fwxjijvq,1.0,0.052,220,1000
narlnjdz,0.22899999999999995,0.921,341,1897
tqnuovyb,0.946,0.20400000000000004,24,135
eknyqewt,0.675,0.475,724,800
pjxaayhe,0.738,0.11200000000000002,889,982
gdlrygjm,0.21999999999999995,0.93,492,722
qvuzodai,0.561,0.589,467,1431
blutmckf,0.195,0.6549999999999999,377,1474
nkozqtxk,0.41900000000000004,0.731,829,1818
gxewvjkw,0.421,0.42899999999999994,965,1614
elzgoekd,0.10900000000000001,0.741,625,1487
abvuvwqd,0.911,0.23899999999999996,279,946
yhasgnke,0.5139999999999999,0.336,366,628
kjlxwuml,0.22899999999999995,0.921,84,884
ebywyisa,0.593,0.557,143,1210
skoejrvx,0.33499999999999996,0.515,309,1070
tdstegqx,0.501,0.349,155,1803
zbsrrqlv,0.677,0.17299999999999996,658,1427
ypialkfl,0.7839999999999999,0.066,264,351
cqbdjase,0.433,0.717,503,1535
icwkphxu,0.531,0.31899999999999995,420,1136
iywhmvpq,0.731,0.41900000000000004,382,1439
qcfssjiw,0.167,0.6829999999999999,900,1120
wkfckfjj,0.208,0.642,152,1339
aephjgcm,0.08099999999999999,0.769,172,1247
qnipghsu,0.836,0.31400000000000006,490,1997
ldizovac,0.58,0.5700000000000001,681,1434
hfylwsic,0.468,0.682,957,1069
kusqvaic,0.981,0,415,1745
dtpeuavj,0.378,0.472,526,1313
crmnlqtj,0.8,0.35,753,949
vnevemmr,0.752,0.398,966,1077
pijapkqq,0.437,0.4129999999999999,685,763
cdncidsy,0.235,0.915,496,1645
vfkyzppg,0.166,0.984,735,1223
uyynrrsx,0.836,0.314,68,731
pbwvqkmz,0.025,1.0,19,1814
zjhukeqi,0.415,0.735,927,1070
chrfcihy,0.945,0.20500000000000004,512,977
lfwxltut,0.077,1.0,192,614
dgynsknk,0.297,0.8530000000000001,501,1270
dkoapuwx,0.885,0.265,501,1488
qxazcyaa,0.733,0.117,747,1409
hjohlequ,0.577,0.5730000000000001,800,1205
zzqpyyre,0.893,0.257,999,1142
wyonozlb,0.159,0.991,194,1345
krcguayc,0.769,0.08099999999999999,30,1640
appmuens,0.467,0.6829999999999999,163,166
dosbiafr,0.367,0.783,518,1409
hexieuwl,0.263,0.887,943,985
gtoensxh,0.20500000000000004,0.945,3,46
vmkyvkga,0.598,0.552,978,1975
guusxnfy,0,0.859,537,1981
glhjfvgr,0.76,0.09,23,790
fofozqjz,0.888,0.262,128,1295
nkqqujjn,0.804,0.346,77,521
pchwkonm,0.085,0.765,309,441
ypeydher,0.551,0.599,453,580
eklqrtug,0.986,0.164,800,893
abbykdbd,0.916,0,644,1922
jakjokju,0.475,0.675,800,1632
awoldwjh,0.093,0.757,75,1397
eeqwrrjn,0.854,0.296,511,592
zoyxbitr,0.878,0.272,446,840
dypeufpv,0.655,0.19499999999999998,83,1196
pqqxmfop,0.862,0.28800000000000003,790,1756
brdoqnpn,0.407,0.44299999999999995,906,1678
fgthclec,0.23899999999999996,0.911,83,290
vtbqpovh,0.22999999999999995,0.92,976,1539
hfhcrmlc,0.97,0,628,1798
mvrkxnvz,0,0.925,374,1957
cjexfzts,1.0,0.096,801,1643
gpxmermu,0.762,0.088,286,1466
irwumoqf,0.615,0.235,203,1911
kpjaabty,0.916,0,591,978
wtjfdloo,0,0.862,581,1877
jqxedfoj,0.273,0.577,106,359
hfskewxe,1.0,0.016,895,1913
zmcahoqk,0.747,0.403,743,1523
igrdunta,0.522,0.32799999999999996,959,1819
wfhbkmjh,0.34099999999999997,0.509,678,686
ulhxgmoa,0.284,0.566,72,1558
lwxqlscz,0.783,0.06699999999999998,783,1874
rjvtzqai,0.853,0.29700000000000004,776,1039
rplugbcf,0.629,0.221,301,1581
lzgedkrw,0.5760000000000001,0.574,360,1792
oababsum,0.906,0.244,359,1228
qxlsxagp,0.352,0.798,252,822
whubnfmv,0.387,0.763,104,845
eyofwnky,0.269,0.581,885,1465
mjxzkchy,0.312,0.5379999999999999,279,1216
xlwxtjzb,0.559,0.291,36,1367
iimrhils,0.24600000000000002,0.604,452,1528
eldttokv,0.072,1.0,847,912
xaltsxic,0.825,0.02500000000000005,872,1625
yiymydxw,0.974,0.17600000000000002,737,1698
zitdunze,0.011000000000000038,0.839,499,1976
hlpsouro,0.684,0.466,382,424
yjzpkqzi,0.12,1.0,725,1123
ptfcyjyq,0.765,0.08499999999999999,583,648
utnpslle,0.511,0.339,314,1436
lllxfnkc,0.529,0.621,667,1722
symnqtwy,0.368,0.782,110,508
orpjhjqh,0.197,0.6529999999999999,2,1147
qtwgsjmp,0.868,0.28200000000000003,762,1992
jmuyqkvl,0.265,0.885,387,1169
rqnzojdx,0.17400000000000002,0.976,798,1084
ywzpyxhi,0.516,0.634,286,332
ghtocmsm,0.712,0.13800000000000004,995,1422
gdyycupj,0.012,0.838,55,986
taejjaoq,0.492,0.358,477,1267
ehsllmit,0.56,0.59,787,1553
frusibaf,0.18799999999999997,0.662,582,1332
kvmnfbcn,0.617,0.233,566,1055
qedakzhg,0.101,1.0,869,1983
ynjotogh,0.32499999999999996,0.525,483,1456
tvlqmlny,0.43200000000000005,0.718,242,639
xuppdxzv,0.088,0.762,121,418
gckmqsvj,0.24400000000000002,0.606,853,1451
jkblxmak,0.19499999999999998,0.655,706,1741
eghxxfrp,0.754,0.096,721,1835
yuacoaaq,0.113,0.737,89,1533
skinrwdn,0.30899999999999994,0.541,573,1926
fflsmhmk,0.19100000000000003,0.959,907,909
vqieysgz,0.816,0.034,199,1263
lcuqgngu,0.256,0.594,392,611
rggrxnem,0.621,0.229,681,1538
veyppxvc,0.815,0.3350000000000001,381,634
arfctyqe,0.656,0.19399999999999998,371,1735
geixgwdl,0.537,0.31299999999999994,429,1670
xohvciik,0.081,1.0,817,1217
rtiiybpj,0.42200000000000004,0.728,378,1378
ouuthzim,0.646,0.204,109,1940
chxtcqyx,0.588,0.262,992,1713
xknarjwt,0,0.977,534,886
uquthyqe,1.0,0.087,525,1296
hztdtybg,0.058,0.7919999999999999,685,1119
rlomkcva,0.591,0.259,119,1610
kjfsgwxq,1.0,0.07,861,1999
xsweduua,0.488,0.362,71,1245
ptjznahb,0.913,0,136,145
mmtaierb,0.941,0.20900000000000005,280,1792
zuavxzyz,0.606,0.24400000000000002,616,1126
hpsrdmdz,0.7300000000000001,0.42,488,1316
ofpxfzfa,0.713,0.137,473,1756
tnwsucqm,0.357,0.493,38,1487
mcmebems,0.733,0.117,873,1603
iijkpnzx,0.739,0.111,543,1821
ampcgtpk,0.228,0.922,97,671
fidmfinp,1.0,0.075,161,213
zlthmlif,0.31299999999999994,0.537,261,705
ugubgqsb,0.888,0,606,948
gpmolndt,0.658,0.492,621,1252
jrdjjguv,0.069,0.781,866,1672
utqysyqv,0.817,0.033,910,1864
hwssgagp,0.667,0.483,922,1331
zbgrfcie,0.217,0.633,337,948
yhtwwnna,0,0.997,70,839
qkygeczd,0.686,0.464,361,1642
bkblaczo,0.341,0.509,752,986
iivbdivy,0.15,1.0,505,857
igpknccz,0.523,0.627,645,675
vmbvnobh,0.499,0.351,374,1037
olehnkkq,0.373,0.477,403,839
nptpmcio,0.367,0.483,440,950
rwzzinfk,0,0.94,744,1901
xhhoxljz,0.672,0.478,909,1662
rphdwxej,0.477,0.673,129,1530
cibdnyqw,0.398,0.45199999999999996,284,331
jhmsmzqd,0.574,0.276,299,1651
eblbccuy,0.32999999999999996,0.52,76,1667
mtirbbed,0.441,0.709,758,1468
xlgyeokk,0.964,0.18600000000000003,925,1665
sqdyxeug,0.432,0.7180000000000001,712,1134
qrhasupi,0.122,0.728,675,1859
mnsvansd,0.03,1.0,525,1046
cppezcwy,0.8470000000000001,0.303,680,799
sjkaynvs,0.637,0.513,18,72
kityutcl,0.798,0.05199999999999996,433,723
yydvddfa,0.074,1.0,331,1029
vzykcedi,0.45,0.7000000000000001,374,399
tfpkjysu,0.815,0.03500000000000006,531,823
dmpbtqjz,0.962,0,821,1231
cawduymr,0.45,0.4,600,1818
wolqduww,0.356,0.494,573,1611
ieejbyud,0.874,0,50,1685
dakomgnr,0.782,0.368,871,982
txctktva,0.657,0.19299999999999998,671,1202
mdhgrwnz,0.248,0.602,189,1916
ptqssfmn,0.534,0.616,271,1612
lziavrcq,0.734,0.11600000000000002,947,1062
gycpkdsr,0.399,0.751,667,1298
gexvgtcb,0.148,1.0,285,1569
opjrsmnc,0.487,0.663,953,1820
xtnlibiu,0.642,0.208,292,1775
vycbfsmx,0.57,0.28,115,1119
feiihhmh,0.208,0.9420000000000001,344,1805
ajjzbmvg,0.733,0.117,19,703
ycldzixm,0.30300000000000005,0.847,48,1944
nrgejhzw,0.312,0.5379999999999999,206,1160
jdkrsbkd,0.486,0.664,391,1515
omnnkady,0.549,0.301,370,1712
xfswwgph,0,0.957,478,1492
zkfofkqd,0.886,0.264,590,1862
ktqngmco,0.216,0.934,86,185
kiyaisqe,0.28200000000000003,0.568,36,944
qgalmrtn,0.587,0.263,475,614
hbdzmmel,0.685,0.46499999999999997,593,1633
hyajdgwh,1.0,0.127,522,1515
hdzmhsgo,0.313,0.8370000000000001,26,1670
hlhfbiva,0.897,0.253,284,439
jeegfciu,0.373,0.777,62,806
jatezxnn,0.485,0.665,512,1113
tebubovm,0.028,0.822,291,1381
rkywjxpr,0.296,0.5539999999999999,334,1231
rjtgzazf,1.0,0.089,578,1135
tlchzyaj,1.0,0.056,760,1309
hkyqster,0.717,0.133,130,1361
