name,x,y,z,time_in,time_out
pausnbzc,0.134,1.0,1,128,1519
tammoygr,0.31299999999999994,0.613,0.537,885,1863
qdneptyk,0.47,0.38,0.38,643,1145
bxcbwaxp,0.443,0.707,0.4069999999999999,152,1113
usbschkf,0.21699999999999994,0.933,0.21699999999999994,777,791
fxkmxsgb,0.612,0.538,0.31199999999999994,191,730
wjrcncgq,0.572,0.872,0.278,12,1718
dsmzerkz,0.737,0.737,0.113,561,614
nmjznefl,0.17999999999999997,0.67,0.17999999999999997,479,767
vwrtwygx,0.65,0.5,0.35,486,1721
uavtnptc,0.28200000000000003,0.568,0.28200000000000003,578,1349
fzxgzfaz,0.33299999999999996,0.517,0.33299999999999996,840,856
loncxfuu,0.46499999999999997,0.46499999999999997,0.685,779,1868
llzyzqhz,0.9500000000000001,0.65,0.2,940,1406
nxtqxiru,0.488,0.362,0.662,511,947
yvijdwds,0.098,0.752,0.398,384,1330
yguesolk,0.77,1.0,0.08,313,703
vardgclt,0.281,0.281,0.569,151,377
gioowxml,0.626,0.926,0.224,731,2000
xrcqlfhc,0.597,0.253,0.553,230,263
myksilkv,0.20900000000000005,0.941,0.20900000000000005,707,1641
nzunwvbo,0.345,0.345,0.805,465,1079
dljihpyo,0.138,1.0,0.712,736,1723
fyvvllat,0.069,0.781,1,789,1734
igfrxvkg,0.07499999999999998,0.775,0.07499999999999998,343,1180
oyzqeufj,0.528,0.528,0.622,793,1796
uojzyxmx,0.218,0.632,0.218,456,1209
oikgmvbg,0.542,0.608,0.542,699,1312
tsfsvpck,0.23800000000000002,0.23800000000000002,0.612,497,1805
ejaetphh,0.341,0.809,0.809,590,1843
mtgtwurw,0.969,0.18100000000000002,0.18100000000000002,827,1768
nxuaqzht,0.928,0.22199999999999995,0.22199999999999995,438,1885
udlfrwzn,0.918,0.232,0.918,944,1625
msfuueet,0.623,0.32299999999999995,0.527,471,1970
vahtwmxg,0.875,0,0,691,1575
smmwhwie,0.16,0.69,0.69,175,619
tekonmoy,0.18099999999999997,0.18099999999999997,0.669,341,1755
askkddea,0.038,0.8119999999999999,1,312,1886
jkimdxzo,0.822,0.028000000000000053,0.32800000000000007,351,1654
oheyycgn,0.711,0.439,0.4109999999999999,948,1594
xvcrcwhm,0.503,0.347,0.347,986,1308
