name,elevation,aspect,time_in,time_out
qdevyurm,0.369,0.142,618,1864
kcnqtgiq,0.366,0.156,408,576
nxvepega,0.473,0.386,321,1444
jlyhhqon,0.463,0.431,56,1265
pxxmwknc,0.368,0.125,200,1653
swuzjojt,0.36,0.367,665,1431
uokcwasq,0.374,0.125,493,1421
jqfddbfy,0.373,0.136,963,1679
arhhiobd,0.379,0.125,307,1073
ubsoofor,0.377,0.164,879,1601
cugozrvy,0.377,0.558,748,1724
ofuuhbsr,0.514,0.419,357,822
bzuijrff,0.442,0.372,698,1804
cssnhwfx,0.375,0.594,284,1248
aoirqrwh,0.322,0.436,809,1312
cfgxhffm,0.318,0.142,2,161
tjzwkirw,0.376,0.719,976,1406
qnuhtlqt,0.329,0.2,314,1588
ibxwffwm,0.323,0.0,154,316
kntepavd,0.322,0.106,150,793
nxkjtvon,0.321,0.197,100,1325
wmtlxqei,0.511,0.581,776,1576
ofuzknsl,0.455,0.317,897,1637
kaxzfzjc,0.326,0.15,993,1950
ifxsgszb,0.324,0.061,655,1305
ouotjzdy,0.317,0.375,398,745
mlrqtnja,0.315,0.453,736,1095
swmwaykd,0.552,0.411,79,678
hhumihex,0.476,0.375,328,1399
ormbiflw,0.44,0.325,253,325
porswecl,0.422,0.339,600,1307
lsohugct,0.332,0.292,637,851
bjfvqinh,0.33,0.283,982,1590
ryaefabl,0.329,0.064,262,1555
kaaoyuhb,0.328,0.114,370,1834
lyhkflaf,0.521,0.125,896,1631
lizcefau,0.425,0.347,654,1943
xasrzyfp,0.326,0.256,432,1122
lfmlfrfe,0.445,0.272,404,836
koldjomb,0.414,0.983,670,1288
ullqsxsp,0.42,0.964,302,1220
boribmzl,0.356,0.961,797,1287
ebcdkdeo,0.337,0.197,322,1386
tbbkzkfp,0.422,0.917,650,1387
onezccif,0.41,0.356,317,1283
dbbdikvz,0.335,0.189,363,1593
dvdoerkh,0.333,0.261,106,619
gbhdeght,0.339,0.275,198,376
fkxnltfk,0.32,0.183,157,1163
zsqbclrj,0.315,0.278,834,1272
sbgkxokp,0.427,0.325,960,1036
insaktbd,0.44,0.897,612,1997
ygsbiznf,0.419,0.2,88,1618
egzkeoro,0.326,0.219,433,1768
uwvggofg,0.322,0.225,653,1316
lddteyww,0.432,0.875,543,1193
eocgtlzm,0.321,0.206,165,1350
sfztokej,0.314,0.189,228,242
bkobucat,0.315,0.031,195,1894
kzlqtjfu,0.315,0.117,429,1297
vnzidkrl,0.316,0.208,442,1956
jezybtir,0.547,0.297,837,1965
awwqjiuc,0.423,0.25,726,887
zohoqbze,0.324,0.111,220,666
ckeefdlf,0.321,0.136,343,1899
augnunba,0.317,0.175,106,914
oyqtzlhz,0.325,0.164,13,157
iudeetug,0.53,0.036,127,1590
yihcwoxh,0.441,0.15,747,996
bafozrhp,0.391,0.222,399,1933
tttmzjjq,0.492,0.461,633,1572
sgpxcmvx,0.575,0.125,998,1150
wratzjjt,0.517,0.317,895,1105
yogzvhjh,0.496,0.017,684,1034
dpqzhvnp,0.385,0.083,11,1770
xniffswr,0.503,0.328,503,1761
cbrgkzbd,0.484,0.444,520,1788
wjimqbsr,0.335,0.906,225,1049
quheabzl,0.475,0.275,604,1905
ojtxfyel,0.491,0.425,40,897
kvvklazs,0.468,0.219,849,1821
jwobvlfn,0.444,0.397,940,1989
pvzsgktx,0.494,0.978,538,1038
nkfkeqfn,0.491,0.039,428,935
yztblmnh,0.339,0.117,409,690
theqetzn,0.501,0.994,893,919
ajtbrpox,0.48,0.922,594,1735
utsaixoa,0.471,0.05,402,1737
iojkmfhz,0.466,0.175,988,1312
udieujrg,0.443,0.85,100,567
arutndpw,0.328,0.283,950,1020
yrgozrsm,0.465,0.036,718,1481
sdaaurhx,0.352,0.983,853,948
ckhyjfnd,0.607,0.481,910,1743
hltffqrp,0.56,0.197,477,1241
jtxxgsms,0.501,0.086,121,179
builnvin,0.604,0.456,693,1379
vbwewxoi,0.473,0.2,6,1897
eaoaaqpk,0.352,0.164,676,946
zajtajya,0.354,0.094,327,1997
bxbbcutw,0.57,0.125,87,361
qtpwlpzd,0.413,0.233,143,1053
niuvdowu,0.409,0.117,568,1778
tsrugvrj,0.502,0.283,285,600
ozisujjw,0.358,0.472,643,994
pyszmzid,0.326,0.586,848,1510
yqzstfgu,0.604,0.089,404,1723
pymcronk,0.525,0.158,110,968
pemrefmd,0.502,0.967,299,1060
rkjkycsp,0.354,0.925,161,1571
vthuquxj,0.662,0.292,905,1402
xeeegtls,0.48,0.9,336,1638
xsjgiohb,0.447,0.922,715,1083
stpobcvc,0.446,0.244,971,1914
ipmgorud,0.355,0.283,534,1374
xzndgqdx,0.668,0.308,116,582
fstkhopy,0.562,0.147,50,774
xuzcmzzf,0.496,0.161,969,1918
sidqfufc,0.364,0.211,798,984
wzmkotar,0.489,0.047,563,1304
bcguugjs,0.432,0.275,544,969
wplatxva,0.606,0.0,336,456
vnsfqboz,0.599,0.344,694,1996
smokuyld,0.48,0.331,0,1433
pondldes,0.494,0.889,992,1895
cjipuenr,0.374,0.311,27,966
jfavsyyv,0.517,0.231,35,516
wkpgtlpg,0.429,0.003,436,1125
epwaxvpi,0.393,0.347,870,1167
ejmxoxaq,0.377,0.103,179,1842
kivgvkvm,0.535,0.989,284,1548
hkafrilz,0.454,0.853,725,1890
ggtorhqx,0.566,0.136,519,1773
zuybgsaz,0.54,0.156,43,682
abztaiui,0.339,0.019,324,613
oanjwyow,0.63,0.331,73,777
yssxyemh,0.542,0.961,931,946
ufdopddo,0.514,0.033,926,1306
pdkyehyh,0.458,0.956,832,966
gsmwvrqh,0.316,0.219,509,1917
vidwpitk,0.624,0.633,450,1841
trnxcqih,0.486,0.789,112,667
pcvxjslz,0.489,0.311,150,1916
edtgeddv,0.516,0.831,984,1181
pfippkjn,0.483,0.375,182,527
osyqetyh,0.435,0.375,148,707
xujxxtht,0.552,0.244,745,1665
wxtffhua,0.642,0.611,199,448
urkasoeo,0.494,0.006,500,932
pkcjjrsk,0.339,0.094,738,1821
rxvdvosy,0.655,0.264,525,1436
arjjhcxc,0.534,0.803,355,1027
ovntqvzl,0.517,0.058,736,1593
sawtqfau,0.414,0.056,860,1286
yvifvxpb,0.625,0.586,849,1703
phqigifl,0.63,0.556,501,1472
nklqhyjy,0.529,0.969,365,1349
svdqlvqc,0.468,0.05,256,1960
uqnyovyc,0.348,0.161,42,1064
nzqvaxsk,0.32,0.117,551,755
xprgrbwl,0.584,0.481,75,1082
wibvpcze,0.619,0.444,551,1677
niatytlq,0.529,0.292,9,1486
jjxxyfsr,0.366,0.117,34,774
pwsajznd,0.663,0.911,576,1025
eniigndp,0.581,0.614,489,1237
lbtbkcpj,0.612,0.714,875,1255
tqocomck,0.501,0.767,456,754
kvrbquns,0.575,0.544,147,1013
ddjuutqv,0.588,0.525,856,1175
oppesfej,0.507,0.361,481,540
ixrgytrq,0.662,0.136,644,1675
kfyrzoqk,0.57,0.283,462,1972
gmchppyp,0.4,0.992,752,1226
gckeelol,0.658,0.042,363,632
vlzdjzlc,0.547,0.022,223,246
inslsmuv,0.382,0.264,354,1756
dkxwrqcb,0.548,0.8,617,1046
