name,elevation,aspect,horizontal_distance_to_roadways,time_in,time_out
kexwbdaj,0.369,0.142,0.072,906,1387
blkxvnio,0.366,0.156,0.055,530,1272
ktttejoz,0.473,0.386,0.447,772,1673
ysznczpc,0.463,0.431,0.434,914,941
znucshxt,0.368,0.125,0.055,852,1589
hnkfbhni,0.36,0.367,0.009,204,1968
oaxposwr,0.374,0.125,0.089,174,1190
xinhhydc,0.373,0.136,0.081,26,1366
dodqrlpb,0.379,0.125,0.094,823,1782
lnhqsmwq,0.377,0.164,0.089,857,1037
wqxcgyhx,0.377,0.558,0.103,582,636
cbnojwxc,0.514,0.419,0.738,516,1247
fqowamjp,0.442,0.372,0.452,803,1358
rxwgbopz,0.375,0.594,0.108,184,1365
azhwgclb,0.322,0.436,0.095,364,1294
jjoyjcnk,0.318,0.142,0.106,985,1395
mckahupd,0.376,0.719,0.085,227,1153
jvqrinlo,0.329,0.2,0.084,390,411
fuxwpmon,0.323,0.0,0.097,970,1612
qvcvfvib,0.322,0.106,0.104,708,1017
bydciziy,0.321,0.197,0.108,243,405
mvrwnbbr,0.511,0.581,0.701,749,918
daocdyqj,0.455,0.317,0.469,401,1861
gcqunehm,0.326,0.15,0.09,50,1653
xzvcuayy,0.324,0.061,0.103,384,1048
xczmvhxo,0.317,0.375,0.121,756,966
zhsxjkvi,0.315,0.453,0.119,466,1755
igfqrknh,0.552,0.411,0.831,280,413
jrpiikth,0.476,0.375,0.516,685,1475
kqgzfxnq,0.44,0.325,0.461,969,1454
wcobhfvs,0.422,0.339,0.448,125,1538
nmmbhjmj,0.332,0.292,0.084,622,820
ehvprmgg,0.33,0.283,0.087,411,1581
sbuexgqp,0.329,0.064,0.092,510,1897
xhhssnmd,0.328,0.114,0.096,545,1163
powdvlat,0.521,0.125,0.731,71,1507
cozrognn,0.425,0.347,0.453,906,1899
ejpwzqmr,0.326,0.256,0.101,659,954
zfjtjobw,0.445,0.272,0.466,782,1723
gwakgskj,0.414,0.983,0.445,464,1213
kjtlbehx,0.42,0.964,0.295,17,1095
lplizgzt,0.356,0.961,0.047,647,750
bwnnyjwa,0.337,0.197,0.081,526,1310
htpsoydx,0.422,0.917,0.441,718,891
wuxjtsus,0.41,0.356,0.233,936,1653
inyrvwco,0.335,0.189,0.094,813,1673
orlzhqte,0.333,0.261,0.096,78,1757
zwzqehpu,0.339,0.275,0.093,592,954
gxhnrmqu,0.32,0.183,0.126,157,165
lrzybmnr,0.315,0.278,0.114,557,574
ttbacfoc,0.427,0.325,0.463,355,1486
qxpzljlt,0.44,0.897,0.438,810,1298
lnfycwyq,0.419,0.2,0.46,397,1107
fsjoprbd,0.326,0.219,0.125,270,825
bdmmumph,0.322,0.225,0.128,239,1291
pdcfbejc,0.432,0.875,0.452,411,1470
vwcjklky,0.321,0.206,0.131,212,593
xqqpiboq,0.314,0.189,0.122,603,1026
bwqgndaz,0.315,0.031,0.118,735,869
ydsfejqh,0.315,0.117,0.114,51,1167
fxrqtqff,0.316,0.208,0.114,674,1426
hegdokbb,0.547,0.297,0.821,73,620
tjbpyilr,0.423,0.25,0.284,753,1488
xavhmqfs,0.324,0.111,0.131,458,545
qayeexpf,0.321,0.136,0.122,152,1882
xaahsckc,0.317,0.175,0.118,506,1702
jgyxuqgq,0.325,0.164,0.126,213,1187
sacjnbpe,0.53,0.036,0.748,977,1929
hipzcdyb,0.441,0.15,0.321,413,1717
kqzjftqs,0.391,0.222,0.153,662,902
ftwgrvfo,0.492,0.461,0.623,117,1480
uxqvlfpq,0.575,0.125,0.895,889,1406
vuopevsy,0.517,0.317,0.712,219,852
ulszmoso,0.496,0.017,0.683,511,1995
jouqzhac,0.385,0.083,0.135,989,1387
dhvrdbqz,0.503,0.328,0.642,441,1132
ujonziek,0.484,0.444,0.555,883,1990
ayifxgnr,0.335,0.906,0.149,7,1833
iubphzgj,0.475,0.275,0.437,877,1635
lwrqfqvk,0.491,0.425,0.648,174,1573
vuqrlmmt,0.468,0.219,0.419,172,966
flkyekma,0.444,0.397,0.343,495,1976
hwvejzlm,0.494,0.978,0.519,183,517
qfwzswtu,0.491,0.039,0.499,564,761
frqoyzuc,0.339,0.117,0.159,379,1573
kdqamfds,0.501,0.994,0.521,82,1871
iixgyglp,0.48,0.922,0.636,909,1757
ysaovlhx,0.471,0.05,0.433,869,996
wxpbhgaj,0.466,0.175,0.413,535,1127
smwqibyz,0.443,0.85,0.339,634,917
qbwtevbp,0.328,0.283,0.152,852,1039
zcgannxb,0.465,0.036,0.58,885,1951
qlxhtcnh,0.352,0.983,0.149,408,610
gtjngsar,0.607,0.481,0.961,321,610
fmntobav,0.56,0.197,0.807,564,1659
bsmgetxb,0.501,0.086,0.512,969,1481
dnuehafn,0.604,0.456,0.957,321,1353
xpnmhnbv,0.473,0.2,0.438,139,1747
xgkaoyvu,0.352,0.164,0.157,707,1801
xkmwhrwq,0.354,0.094,0.16,657,878
rxizgzxa,0.57,0.125,0.821,680,825
kedyksyp,0.413,0.233,0.236,995,1344
wficisfx,0.409,0.117,0.23,487,679
xbkjtmzk,0.502,0.283,0.617,401,1565
pzfqghex,0.358,0.472,0.166,719,1197
jfsvqsak,0.326,0.586,0.15,879,1670
vzgraaky,0.604,0.089,0.938,11,1404
igdjqvgg,0.525,0.158,0.773,76,1129
ojpmkldv,0.502,0.967,0.551,324,875
hiujyjeu,0.354,0.925,0.178,293,907
kxgceoiv,0.662,0.292,0.843,474,1621
fqvlyxvw,0.48,0.9,0.584,956,1985
pebiorqo,0.447,0.922,0.333,128,1556
hhpqswjd,0.446,0.244,0.326,723,1580
ndtzbxkv,0.355,0.283,0.178,195,270
lfipdvob,0.668,0.308,0.835,188,1916
qetlbfku,0.562,0.147,0.809,944,1276
cvyqdujn,0.496,0.161,0.617,529,1632
rapzmqld,0.364,0.211,0.181,628,1197
hbpcbnvh,0.489,0.047,0.596,917,952
zunmsszo,0.432,0.275,0.296,939,1303
fxbhkfwq,0.606,0.0,0.968,797,1559
bnrxzgir,0.599,0.344,0.914,557,1634
sxqgtxhd,0.48,0.331,0.732,134,1485
idfoigjc,0.494,0.889,0.7,344,1058
edzcbkjr,0.374,0.311,0.223,571,1518
kgnoftre,0.517,0.231,0.564,433,1478
osvqcuwd,0.429,0.003,0.295,535,857
iwzhtjxd,0.393,0.347,0.242,982,1161
ubpjcqda,0.377,0.103,0.213,802,1515
ivyhgrad,0.535,0.989,0.809,328,724
kzznqoey,0.454,0.853,0.393,351,901
nfirmnhn,0.566,0.136,0.871,13,975
kupifkcx,0.54,0.156,0.782,863,1642
zelrrwaa,0.339,0.019,0.222,573,1605
gkjsoysy,0.63,0.331,0.936,626,1169
fwpnplcv,0.542,0.961,0.832,214,1577
asupwrfw,0.514,0.033,0.603,966,1864
hvolcaqk,0.458,0.956,0.401,295,801
vcakylzz,0.316,0.219,0.123,169,1510
zgfqgalh,0.624,0.633,0.841,406,456
ophzvqsx,0.486,0.789,0.732,508,851
obrbygzl,0.489,0.311,0.513,215,990
wahsuezc,0.516,0.831,0.717,111,353
qninvwyk,0.483,0.375,0.503,378,388
jyxixvfa,0.435,0.375,0.316,509,684
