name,x,y,time_in,time_out
cvrfmtcn,0.332,0.207,49,341
uakagnqt,0.819,0.46,558,1720
ckyayqjx,0.678,0.545,313,1864
rzzjiady,0.08,0.839,346,1266
bimgpzzy,0.979,0.78,834,1431
mfzhovao,0.023,0.032,14,1631
syqsffpa,0.177,0.215,391,1080
xkosjcdl,0.043,0.794,424,1926
vgfmzurd,0.606,0.808,898,1924
leeztfwa,0.503,0.977,164,984
dhcrruww,0.775,0.335,748,751
hzbwlrfi,0.691,0.566,550,1988
nmuqltil,0.512,0.53,181,1651
qwzvjdev,0.044,0.813,954,1871
hxbgymvw,0.681,0.676,894,913
yjqtbhpy,0.664,0.172,405,1913
zofqnytt,0.744,0.632,393,1758
zfvjnqxu,0.899,0.231,364,758
qwsgfvfv,0.716,0.958,790,930
rmgrgivl,0.097,0.219,884,1874
rrawunug,0.569,0.563,781,1296
rdfayqwp,0.048,0.518,473,1904
snfgqxkg,0.223,0.858,141,1041
lvidvxmm,0.763,0.281,325,1678
awroquxo,0.901,0.739,334,439
esnzcgfs,0.337,0.874,445,825
cfoerokq,0.6,0.86,936,1515
hxxubbfu,0.231,0.586,734,1500
pvqxucdk,0.347,0.594,156,1826
wjidwnop,0.782,0.586,375,985
heccbpkk,0.674,0.474,265,1572
payawfns,0.492,0.397,618,1041
jjrvcqct,0.035,0.962,247,1352
kudhgvzi,0.943,0.272,454,804
vacauhcr,0.106,0.151,579,1624
vtcfwtcn,0.184,0.453,565,1221
phrtzpyc,0.467,0.837,626,1526
ajvbgrbt,0.797,0.399,268,570
tsucubyz,0.789,0.034,75,556
epfeukdm,0.655,0.949,307,1682
qkdkapdn,0.073,0.389,181,596
kjqgmbhk,0.378,0.602,245,929
wspeyyzp,0.514,0.451,313,1846
kabpkdyx,0.653,0.59,77,512
nqchiglo,0.398,0.024,42,1332
srgtssgb,0.337,0.545,301,309
tvltgzdl,0.526,0.323,892,1489
qgwaotux,0.339,0.265,22,923
gzqwvvma,0.184,0.319,188,1351
idznrwtn,0.887,0.742,803,1528
gozbbezo,0.888,0.992,105,1804
fmunaxju,0.371,0.992,68,257
rwgnfrev,0.249,0.746,818,1280
awlwobiu,0.799,0.932,700,1282
pibfsyzs,0.921,0.151,197,1684
shckkyeg,0.345,0.592,240,1605
kwpzcixl,0.854,0.543,908,1951
yitlxmza,0.569,0.89,928,1859
syoqzhzd,0.608,0.354,950,1067
qdzfjfin,0.491,0.806,457,1675
rtncpaue,0.291,0.648,950,1061
plznuwyl,0.314,0.343,946,1622
lehcedpm,0.551,0.828,922,972
xrivwjpp,0.064,0.441,409,856
msubhvbc,0.958,0.568,773,845
natniqff,0.237,0.675,372,472
nfrryhwq,0.735,0.701,641,1442
uordmyie,0.819,0.795,829,1515
coabpbnk,0.912,0.764,321,1732
iwwjoxis,0.906,0.932,411,1557
alpzjcsx,0.722,0.406,628,894
fajzgpiv,0.326,0.628,612,1238
yajajpuo,0.784,0.751,391,1124
iwsutlgv,0.617,0.758,265,1473
ettavvwp,0.293,0.426,855,1721
woswnguh,0.445,0.788,960,1014
hngupbfa,0.474,0.247,643,1689
ciowpghn,0.842,0.332,287,541
ugbvyudg,0.574,0.099,864,1943
ztippepj,0.822,0.417,84,1285
nsyqzhjg,0.532,0.134,781,1495
jbgrjcvu,0.891,0.611,397,966
rgavndqp,0.597,0.448,638,660
yhpljwlm,0.978,0.048,604,1124
dxkdyfdv,0.595,0.095,999,1413
slclyaco,0.153,0.625,225,532
qsqlzkiw,0.752,0.072,439,942
tealtbwb,0.391,0.818,340,1848
ffdjofas,0.136,0.576,401,473
epjafhky,0.968,0.292,560,1596
riiwtgrv,0.146,0.948,103,1406
ufkuhbob,0.938,0.937,48,386
ezavoocz,0.127,0.948,524,718
wqhjicin,0.579,0.505,401,1607
skmelvzn,0.274,0.23,936,1790
czsvsufb,0.1,0.941,753,1793
snxnulqq,0.053,0.601,551,645
shvodjhx,0.271,0.134,10,416
ouhohkzu,0.621,0.31,985,1854
dkdzgxsi,0.607,0.831,879,887
ehmrnqps,0.535,0.523,466,943
kmabhkqg,0.433,0.703,212,1848
uraejkpp,0.664,0.922,963,1705
okvjfnte,0.065,0.893,357,1835
qozninhr,0.028,0.247,951,1987
andaiklk,0.321,0.285,753,1019
rotkdlku,0.07,0.577,161,874
twycrtqf,0.455,0.101,146,441
ogubhlgs,0.466,0.217,317,1142
kzbzygmw,0.313,0.323,740,1456
dgytcaik,0.531,0.262,30,1465
eqrgfxyx,0.742,0.821,911,1089
sgeyyadv,0.936,0.223,227,1553
zglffboc,0.276,0.206,777,1043
gfyutvwt,0.147,0.001,4,1067
eicssxvh,0.624,0.536,719,781
tyrowvxe,0.896,0.95,929,1380
iuoxujle,0.429,0.531,982,1348
rgdmdnwq,0.947,0.301,819,1303
umcytcce,0.058,0.444,178,1797
vzwgcsma,0.285,0.067,914,1606
fypgtboo,0.843,0.163,647,1750
llpjxlyp,0.695,0.488,669,871
nunyapvr,0.161,0.617,876,1904
bibfwebp,0.215,0.364,823,1695
sqrnkfkg,0.1,0.061,67,1000
wbkprnri,0.564,0.148,503,1026
luwdhjkl,0.672,0.111,821,897
bomigkqg,0.222,0.732,629,1064
ktpxrmuh,0.879,0.718,989,1672
lsohigdl,0.974,0.626,151,881
kikhfije,0.985,0.347,488,528
kupnmgtg,0.293,0.936,59,1682
mqiuukdo,0.82,0.95,43,730
vnyiewah,0.677,0.59,332,760
mysxgghn,0.99,0.976,54,306
gwdbkdzk,0.959,0.522,205,1645
ghjuamfa,0.621,0.231,863,1707
gnshoqsc,0.159,0.486,217,1408
tkwufrjl,0.179,0.817,599,1513
extvxnxy,0.873,0.56,442,567
bpzdtbng,0.933,0.103,108,654
ryncnyle,0.115,0.132,382,1540
xtweyryj,0.59,0.978,544,1904
ziupgzrd,0.376,0.834,812,1930
stuleytq,0.505,0.236,654,974
ezaugjps,0.25,0.497,710,1606
ovhxjzfu,0.606,0.736,59,493
cssivgjw,0.146,0.261,285,1789
mlhktckt,0.193,0.121,621,1020
fcugrjgh,0.219,0.264,619,1644
qeweksdl,0.382,0.007,335,1391
ucsfqzns,0.512,0.811,714,1418
nymvhxmw,0.529,0.697,372,1715
rleoygan,0.486,0.4,926,1765
llsrohob,0.049,0.301,580,1574
ygorupac,0.85,0.564,947,1528
xcwwfpav,0.948,0.329,579,949
grhtujgx,0.702,0.698,584,1114
epesrbwc,0.412,0.109,354,435
gvejiiqa,0.051,0.153,538,682
vgupycbm,0.526,0.543,940,1607
kvuvjhmy,0.458,0.568,912,1923
gndfvbgy,0.283,0.598,293,1770
peoptblp,0.927,0.189,720,1658
txfbrphw,0.127,0.4,182,682
vkbzzrkk,0.818,0.656,857,1821
fyajiuon,0.155,0.531,474,1003
lnokrbxe,0.772,0.394,95,1702
axrorfbg,0.994,0.799,840,1386
fhwygvon,0.155,0.569,853,1734
giosxsmz,0.89,0.522,352,604
hhfdiqeb,0.193,0.438,317,1003
tpzfgskh,0.492,0.126,59,1220
rwvecebs,0.091,0.683,847,1751
dsygleay,0.691,0.777,871,1347
hqpjcgtg,0.819,0.889,979,1993
xzxoihrz,0.213,0.5,542,880
csjplviq,0.566,0.615,904,1203
ckvnkplj,0.501,0.546,566,1596
ulcmolwf,0.38,0.072,402,575
oenyslsj,0.793,0.926,968,1253
mrykkgwu,0.828,0.417,188,1728
ptjygnrm,0.506,0.697,960,1808
lwigmckt,0.197,0.878,192,1057
epcewnoz,0.047,0.356,835,1884
rsdwoqpn,0.294,0.579,283,1093
jkwrizpv,0.181,0.488,704,1568
npqsptwo,0.244,0.027,208,353
pwfrfqnc,0.154,0.835,841,1726
arbnyiyx,0.612,0.512,869,1620
lkdjoapw,0.38,0.054,390,1234
cwojojxy,0.959,0.312,146,605
vuzzcoqb,0.678,0.047,298,396
foxztksd,0.477,0.344,449,1487
edfblsun,0.908,0.066,983,1442
kbbtmjff,0.982,0.692,134,626
wkedmdce,0.514,0.231,30,711
hgwabqxd,0.7,0.502,168,1024
rxstzpdb,0.462,0.423,948,1157
xmzrzalw,0.922,0.573,733,1565
hpkcszay,0.42,0.455,203,1141
lczmzibk,0.137,0.243,47,479
aaillqtw,0.413,0.741,662,1135
qvtcolbs,0.961,0.666,417,930
rcfietqf,0.456,0.119,575,641
zumkkqpd,0.364,0.872,592,915
jkqusgpf,0.656,0.599,512,1516
ttdwjawy,0.896,0.652,522,1287
nglcidot,0.614,0.022,253,750
ytqiljgp,0.19,0.574,989,1455
axxpbvpx,0.85,0.885,349,663
olfmyzim,0.302,0.92,878,1209
swmezgsi,0.849,0.667,229,1632
argdlkdo,0.021,0.015,43,409
ogybuitc,0.622,0.732,566,1124
rzcbdjya,0.928,0.75,967,1346
jcytnhlz,0.23,0.599,46,826
wujbckdx,0.357,0.372,32,1324
gvppouoi,0.176,0.577,380,1773
arbaqljk,0.822,0.764,663,1286
iiqtfbbu,0.819,0.874,936,1430
ojyprofc,0.881,0.186,581,969
vvkmjxvf,0.34,0.983,761,1106
mprxfbct,0.201,0.223,572,1480
ebeodumc,0.792,0.257,969,1937
wqrddvpo,0.651,0.138,607,1477
uebnfxqn,0.228,0.812,814,845
glfaxxwp,0.342,0.829,291,791
biyihubc,0.811,0.96,837,1864
mrctjtqb,0.461,0.892,789,860
zmgpyuny,0.553,0.189,532,1971
oroxxlzo,0.183,0.936,529,1867
wcoopzcw,0.786,0.418,117,1032
eymcfyqs,0.404,0.19,20,1975
wmjhkklf,0.558,0.73,501,583
peegowow,0.976,0.991,988,1976
xgctfnwl,0.27,0.415,354,1640
olawusrn,0.665,0.018,917,1920
