name,x,y,z,time_in,time_out
oteqblzq,0.761,0.504,0.798,334,492
carcyylo,0.549,0.724,0.426,59,1237
fpnqqtsj,0.98,0.686,0.786,179,1137
iwqlcxkz,0.303,0.361,0.475,482,1131
rrewvfke,0.07,0.605,0.891,833,1327
hzossnsr,0.424,0.64,0.237,504,1420
tapgifya,0.405,0.712,0.411,581,1278
mhytcroi,0.31,0.073,0.507,564,1331
oiwbybvb,0.133,0.683,0.647,650,811
pupntzhu,0.73,0.614,0.178,55,1388
kmhbhclq,0.617,0.27,0.83,405,1054
bxujnpxh,0.523,0.16,0.782,884,1457
ihyftmpq,0.994,0.458,0.415,921,1916
ebmymind,0.681,0.895,0.007,469,504
nbzioyua,0.193,0.757,0.238,29,1828
sezehjzr,0.433,0.295,0.071,512,566
djmaqzoy,0.926,0.765,0.751,478,1853
fobndyga,0.159,0.987,0.349,36,865
fglmvlca,0.016,0.469,0.612,976,1779
fqxaphav,0.317,0.646,0.915,236,305
gnabkpjx,0.006,0.524,0.669,126,891
blyypfpk,0.018,0.238,0.464,561,1650
yoiqnyxt,0.933,0.715,0.018,198,1459
ladbacdb,0.857,0.784,0.049,525,1317
rsudzjbf,0.235,0.713,0.233,912,1776
vljtnxwi,0.405,0.268,0.211,186,659
aevxtxxq,0.308,0.559,0.896,305,1431
woheiclg,0.793,0.493,0.77,250,1207
aonnqyks,0.7,0.976,0.174,243,460
caqxwekv,0.831,0.294,0.366,601,1901
mxwsnwmz,0.132,0.637,0.14,928,1170
sfhmldmc,0.822,0.185,0.74,178,268
bvtolacd,0.182,0.746,0.578,759,1694
fynampfs,0.288,0.734,0.263,691,1275
ibbkqupr,0.608,0.401,0.515,622,656
ydjqnnik,0.983,0.104,0.169,512,812
gdhfqtgi,0.152,0.824,0.39,130,231
texdppdc,0.945,0.757,0.933,228,1833
himirtqc,0.751,0.442,0.068,719,1437
uxwemlky,0.37,0.469,0.933,116,944
ifuqgrkn,0.481,0.728,0.236,354,482
uqoxzjxt,0.729,0.88,0.458,729,1118
upuieqvs,0.598,0.014,0.967,61,1682
erebzdym,0.699,0.822,0.325,167,294
prjmyzhx,0.891,0.611,0.955,642,1597
mcktrama,0.332,0.164,0.187,216,1355
pecbscwe,0.382,0.688,0.31,822,1544
mumkiiwc,0.748,0.596,0.125,2,1685
obbmtwzg,0.885,0.741,0.718,635,1099
dutuzoza,0.223,0.746,0.851,638,1771
dwdvernl,0.053,0.706,0.113,152,318
uzgefkha,0.684,0.318,0.407,106,1611
bidtrgeu,0.416,0.732,0.724,488,688
ofvyjwhe,0.407,0.11,0.471,554,1817
xauvexqk,0.277,0.176,0.108,372,1395
giqhckao,0.431,0.351,0.653,378,1377
dkrsclcb,0.201,0.146,0.533,252,1160
zxgegyzp,0.41,0.491,0.381,166,1251
wvbcaqlk,0.862,0.366,0.322,840,1747
fcbjtwkr,0.251,0.742,0.871,284,1563
upgehtjf,0.049,0.18,0.161,58,696
giuwmibp,0.739,0.851,0.197,569,1274
gymvujjh,0.466,0.577,0.923,592,972
rboalgpo,0.155,0.993,0.96,410,700
nuehyswx,0.48,0.869,0.776,238,1648
dwkdosad,0.425,0.015,0.017,635,1369
ppxhscnh,0.04,0.224,0.961,855,975
pfstnqhj,0.651,0.48,0.024,1,738
jirzhyee,0.657,0.592,0.741,361,1430
wzchqnuy,0.981,0.387,0.251,226,1731
dsypqttj,0.214,0.478,0.796,16,437
fqnxwkvd,0.495,0.637,0.136,948,1027
bulqragm,0.958,0.757,0.117,567,1858
iwinsuds,0.167,0.81,0.889,868,1648
tdvysecn,0.573,0.305,0.731,436,1280
mrnjzitl,0.21,0.657,0.54,115,1025
vnulzybr,0.669,0.305,0.638,754,794
yplsapwg,0.865,0.458,0.677,910,1581
ytqcfloj,0.253,0.046,0.92,638,1046
mdwzucrr,0.88,0.072,0.297,554,898
leptdxzs,0.332,0.039,0.527,909,1816
wvuqambq,0.219,0.288,0.754,508,1642
rlnwmors,0.469,0.294,0.967,730,1243
ajvnwwyr,0.708,0.826,0.848,47,320
riyhoqcx,0.85,0.93,0.038,446,476
iiwmvxwt,0.323,0.021,0.899,587,1254
htfjkeop,0.116,0.766,0.6,586,1024
xjojnadl,0.051,0.037,0.644,694,1190
hzpajang,0.651,0.89,0.489,462,1784
zmynvfwt,0.087,0.771,0.798,477,721
pcnpspwp,0.854,0.95,0.349,598,751
stdnkhuf,0.259,0.356,0.468,346,1959
qecmroix,0.465,0.826,0.993,365,1090
rcsztqgm,0.815,0.204,0.708,42,1663
ksdpoiui,0.117,0.483,0.073,880,1742
pqpkmsje,0.511,0.587,0.357,899,1593
budlruez,0.486,0.514,0.451,170,1843
ozdrhsdm,0.087,0.743,0.995,719,1546
jyxoqkux,0.586,0.371,0.698,651,1826
avcuckyf,0.046,0.015,0.139,229,1616
nekpkmvb,0.013,0.531,0.003,951,1237
rkoylxof,0.03,0.908,0.141,447,722
qdcywaxx,0.487,0.879,0.591,494,1703
olaauwci,0.634,0.629,0.816,193,821
azddmigz,0.767,0.91,0.541,33,391
uvxoanyk,0.365,0.138,0.291,735,1960
xzbnknpp,0.167,0.145,0.778,27,1762
nfkobxus,0.081,0.162,0.96,581,1229
wcecdosw,0.695,0.236,0.759,478,1526
